Bill ID,Buyer name,Buyer contact,ProductID,ProductName,GST,Price,Quantity,Total,Grand Total
1,Vivek Tape,9101145687,200,Sofa,672.0,14000.0,4,58688.0,
1,Vivek Tape,9101145687,199,Modern desk with side shelves ,818.4821759999999,17051.712,5,89350.97088000001,
3,hitansh,671665491589,122,Medium coffee table ,454.381056,9466.272,2,19841.306112,19841.306112
3,hitansh,671665491589,172,cm TV table,730.861056,15226.272,3,47871.399168,47871.399168
4,dgerht,5252372,123,Bed side table with storage shelf ,270.061056,5626.272,3,17688.999168,17688.999168
4,dgerht,5252372,156,Modern TV and coffee table ,500.461056,10426.272,2,21853.466112,21853.466112
1,jainam,354516565,123,Bed side table with storage shelf ,270.061056,5626.272,3,17688.999168,
1,jainam,354516565,124,"Home Gallery TV unit made of natural wood, beige",949.280256,19776.672,3,62177.85676799999,
2,bhosro,987954857,194,_ Modern coffee table ,154.861056,3226.272,5,16905.66528,
3,Vimalbhai Patel,98711522633,187,Desk + drawer,309.298176,6443.712,2,13506.020352,
3,Vimalbhai Patel,98711522633,173,tv covers Protector,217.057536,4522.032,4,18956.358144,
4,Vimalbhai Patel,987456613,198,Home  Studying Desk - 90x80x40 -  White,511.981056,10666.272,1,11178.253056000001,
4,Vimalbhai Patel,987456613,108,Modern TV table ,500.46105600000004,10426.272,4,43706.932224000004,
